Song,Nation,Year,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
Centory - The Spirit,Germany,1994,0.06978931896129348,0.7350729861883387,-3.2959039684784495,-18.0670629452569,14.77115897677845,0.03286991670749633,0.8399804227413089,-10.968604162509365,-22.470532770912786,11.50192860840342,0.043345990527519196,0.658206853191864,-8.256055159153592,-23.536719200163052,15.280664041009455,0.02977747836028091,0.39813621404703364,-12.690046428079802,-31.62653791225554,18.936491484175743,120.0
Centory - What's On Your Mind,Germany,1994,0.0714442668797443,0.7553774702090412,-2.9313551499001678,-18.360429537223535,15.429074387323368,0.036316919696364365,0.9502753578921633,-11.485896713186454,-22.728946531106768,11.243049817920314,0.0396993607670795,0.5309598186294344,-8.736942155479166,-24.406633162908975,15.669691007429808,0.03125998801438274,0.4143977421049725,-11.2183847643785,-30.311218996449533,19.092834232071034,139.67483108108107
Central Love - Experience Of A Beautiful Rainbow (House Of Roses-Mix),Germany,1994,0.03677897749447119,0.7512077712775369,-10.422712268980503,-25.917506557886206,15.494794288905704,0.018537140627032652,0.8321315122825417,-19.75332807556057,-30.595185363448348,10.841857287887777,0.021248861714583067,0.6911921094811186,-17.611987927336113,-34.07012728791757,16.458139360581455,0.015561987771562378,0.4674448857371478,-19.477093221536393,-38.824203741428406,19.347110519892013,139.67483108108107
Central Love - Experience Of A Beautiful Rainbow (Somewhere In The Paradise-Mix),Germany,1994,0.04308645877229948,0.6956924177645535,-9.16221151814759,-24.316169009481168,15.15395749133358,0.021034555415086392,0.7982774280318286,-23.20080311712291,-34.716161300390326,11.515358183267411,0.028514187385868802,0.584226995978643,-13.551763917861727,-29.07725016927365,15.525486251411923,0.015030200870908835,0.46946406528117873,-20.137743119833456,-38.23633162620402,18.09858850637056,139.67483108108104
Central Love - Melody Of Darkness,Germany,1993,0.046924228103339634,0.7123891614404997,-7.440597397639142,-22.997907556636328,15.557310158997185,0.020676591052299936,0.8309622168162836,-17.224334051685208,-28.373365427780346,11.149031376095138,0.03529379332073094,0.6027945714166808,-10.709027192639933,-27.313916125836332,16.604888933196392,0.01475110270951481,0.4140859095191512,-20.042670309493285,-39.857770311812544,19.815100002319255,150.0
Centrifugal Force - Diatribe,Germany,1992,0.049281772311573636,0.8927370738458004,-5.859868884766135,-19.806609679509755,13.946740794743622,0.02285004730368969,0.955996461871861,-14.265510021391233,-25.63071529648012,11.365205275088883,0.035022469252601704,0.8881059722082765,-9.814185211800252,-25.59764618453096,15.783460972730706,0.024539577420372126,0.6826036006989569,-13.411992677965545,-31.397809357551566,17.98581667958602,135.99917763157896
Centrifugal Force - Escapism,Germany,1992,0.04999800796812749,0.8860212064650989,-6.053036963924998,-19.93044864746907,13.877411683544073,0.027050597609561754,0.8954094352987202,-16.024532014636417,-26.609761215807804,10.585229201171389,0.025366932270916336,0.806292852778331,-13.973177485462532,-30.06511348797397,16.09193600251144,0.021932669322709163,0.7324908542395836,-15.152530874148704,-32.901791981849335,17.749261107700637,143.5546875
Centrifugal Force - Force Funnkkk Innkkk,Germany,1992,0.03753878653553125,0.11193913545963842,-9.762596875351365,-25.071763137165238,15.309166261813873,0.017900332456018842,0.1146852532709539,-17.63005895771277,-28.371289763370914,10.741230805658144,0.020649328161795263,0.08244505899257681,-16.065547841382305,-31.985024980706346,15.91947713932404,0.02070300595650367,0.09725146683174542,-16.366448611850156,-33.943135581416904,17.576686969566747,129.19921875
Centrifugal Force - Trancesexual Healing,Germany,1992,0.039796691936595456,0.9320987235678491,-9.380171577436723,-25.794356611464426,16.414185034027703,0.01178540661612681,0.9347282644076609,-23.67156132678351,-35.03781440698691,11.366253080203396,0.029607598208132323,0.9413917708317043,-12.460794073392805,-28.331473605056612,15.870679531663804,0.020374741557546518,0.8661962063948789,-17.108046778562965,-34.970308657604896,17.862261879041927,158.0
Chill 'N Force - Move Raver (Toya Mix),Germany,1994,0.04161077288205552,0.44254800567037295,-8.50481320163339,-22.576804817692516,14.071991616059126,0.022303425859044476,0.6782656825749257,-15.499078772236471,-25.742065225386636,10.242986453150163,0.02385589722422867,0.1649140192202892,-13.829983969021951,-28.54488932044782,14.71490535142587,0.015210246620575796,-0.030311904039368443,-22.781906171010963,-41.14671583305491,18.36480966204395,143.5546875
Chill 'n' Force - I Feel Free,Germany,1994,0.05460129176499814,0.6746971349149626,-6.052611097441304,-22.22908919729696,16.176478099855657,0.022440069556576826,0.7267189573168173,-18.585116442440718,-29.25129486642704,10.666178423986318,0.0317488510744007,0.5929148212369685,-11.62095636466775,-27.500965756965996,15.880009392298248,0.026298596447646257,0.4045084010237005,-12.704586421277538,-30.217901637361127,17.513315216083583,169.44159836065575
Chill 'n' Force - I Feel Free (BrainVibe Mix),Germany,1994,0.0477519623233909,0.6850975079848328,-6.8868523477703425,-21.976118483360768,15.089266135590423,0.023422553636839354,0.7385919068588991,-15.279222846315387,-25.45370173219152,10.174478885876132,0.024537153322867614,0.5599079372700887,-13.582403430523033,-30.37017687940597,16.787773448882938,0.024030350601779178,0.5189890271197385,-14.235686366381579,-32.67288460403512,18.437198237653536,169.44159836065572
Chill 'n' Force - Move Raver (House Is Not A Home Mix),Germany,1994,0.0602772373540856,0.9727643116971769,-5.357290227263107,-19.99653831737607,14.639248090112964,0.03520828564888991,0.9934060195810416,-13.56148594115375,-24.342800131486158,10.781314190332408,0.029962520027466247,0.9796875489093626,-12.657500758956061,-29.091417625127217,16.433916866171156,0.021515793087663083,0.9251422927922062,-15.550217337770583,-34.280231013938845,18.73001367616826,151.99908088235293
Chill 'n' Force - Move Raver (Kee Mo Mix),Germany,1994,0.05749450827982427,0.7003517754325761,-5.763778015186741,-20.56641693012729,14.802638914940548,0.029893967556606966,0.8775201218106656,-14.742924791582881,-25.61484325328282,10.871918461699943,0.03150853328827306,0.4360235292973377,-11.35254129534574,-27.94959543079123,16.59705413544549,0.025782781345049004,0.6230011843376945,-14.04816617849673,-32.93291320844577,18.88474702994904,156.6051136363636
Chill 'n' Force - Move Raver (Original Mix),Germany,1994,0.029346411544904007,0.9713645528917745,-12.516500443003746,-27.46073565573106,14.944235212727312,0.01596572606622858,0.9797223199117465,-21.47561007770702,-32.876061217225505,11.400451139518488,0.013908967916505607,0.9673683419489799,-20.885968123069613,-37.380522720840986,16.494554597771373,0.014439827341837392,0.9290963549171714,-21.177785012401355,-40.344134562263335,19.166349549861987,139.67483108108104
Chiron - I Show You (All My Lovin') (Club Mix),Germany,1994,0.05213291952054794,0.5115264623492266,-5.7916561601668715,-21.62061875389684,15.828962593729964,0.023233804223744294,0.49948620779576264,-15.34158472561375,-27.0375693682616,11.695984642647849,0.0330283247716895,0.3216411179495369,-10.212460603541073,-26.709523615415147,16.497063011874072,0.024781321347031968,0.34572355102393737,-13.111023348547699,-32.0635103054221,18.9524869568744,156.0
Chiron - I Show You (All My Lovin') (Extended Version),Germany,1994,0.0457240009629273,0.5169447704750414,-7.252201423258839,-23.368943881841435,16.116742458582596,0.017424470389985555,0.36178369767396606,-17.007981573505997,-28.636920349932375,11.628938776426377,0.031036952335098702,0.4798196191511407,-11.13205914267467,-26.72945604955893,15.597396906884256,0.02116754935002408,0.5267123517973844,-15.308683217781535,-33.31361248075724,18.00492926297571,156.60511363636357
Chiron - I Show You (All My Lovin') (Reconstructed By 'The Loop'),Germany,1994,0.034343896068188065,0.3015502958700371,-9.951092076597803,-26.22384569824216,16.27275362164436,0.012523370910090734,0.6669742131488762,-23.85499607627875,-35.2097150430977,11.354718966818957,0.02604791036568601,0.11970735148197346,-12.819825293265245,-28.94365700032471,16.123831707059463,0.010458138575749244,0.15336842358244332,-23.246712209890635,-43.897221023509175,20.650508813618536,156.6051136363636
Chocolate - Brazil! Brazil! (Extended Version),Germany,1990,0.073035176257909,0.8485991830875864,-3.143171904466805,-17.48219987944881,14.339027974982006,0.04691247363663754,0.8950042039395085,-11.284481338005316,-23.18261517254556,11.898133834540245,0.03840501657125641,0.7492362210554483,-9.583082286233987,-24.66710573199435,15.08402344576036,0.029135281711358842,0.7971519120109755,-11.733137180306624,-30.432572047234608,18.69943486692798,120.18531976744183
Chocolate - Everybody Salsa (Beach Mix),Germany,1991,0.03148727622429354,0.9042460342952491,-11.977759216992723,-27.06109834628996,15.083339129297231,0.016126276076342656,0.9657522697928542,-21.9143151428651,-33.48033000073331,11.56601485786821,0.01953987276224294,0.8704933608331975,-17.84174281139939,-33.38671177699541,15.544968965596023,0.013057035064358635,0.7579665360299235,-20.767115217027612,-40.18764988130515,19.42053466427754,123.046875
