Song,Nation,Year,BPM
All in Vain - Trance Music Was Born (Original Version) ,Germany,1993,139.67483108108104
All in Vain - Trance Music Was Born (Ragga Trance Mix) ,Germany,1993,139.67483108108104
Alter Ego - Atomic Playground,Germany,1994,100.0
Alter Ego - Chinese Eyes,Germany,1994,70.0
Alter Ego - Nude Restaurant,Germany,1994,90.0
Alter Ego - Sentimental Books,Germany,1994,60.0
Alter Ego - Soulfree,Germany,1994,109.95678191489355
Alter Ego - Soulfree (Holy Garage Remix),Germany,1994,132.51201923076925
Alter Ego - Tanks Ahead,Germany,1994,123.046875
Alter Ego - Undersea Girl,Germany,1994,100.0
Alternate States - Alternate States (Part I),Germany,1991,129.19921875
Alternate States - Alternate States (Part II) ,Germany,1991,129.19921875
Alternate States - Alternate States (Part III),Germany,1991,123.046875
Alternate States - Nothing But Pain,Germany,1994,112.34714673913047
Alternate States - Welcome To Hell,Germany,1994,164.0625
Alternative Energy - Energy 1 (Linda Richards),Germany,1992,132.51201923076925
Alternative Energy - Energy 2 (Sex),Germany,1992,135.99917763157896
Alternative Energy - Energy 3 (Extremly Dangerous),Germany,1992,135.99917763157896
Amokk - Chicago ,Germany,1992,129.19921875
Amokk - Hardcore ,Germany,1992,129.19921875
Amokk - Radarlove ,Germany,1992,123.046875
Amokk - Wake Up! ,Germany,1992,129.19921875
Amorph - Alien Voices,Germany,1994,129.19921875
Amorph - Astronaut,Germany,1994,161.4990234375
Amorph - Emotional Experience ,Germany,1993,135.99917763157896
Amorph - Fractal Accident ,Germany,1993,156.60511363636357
Amorph - Gemini,Germany,1994,161.4990234375
Amorph - Lotos ,Germany,1994,129.19921875
Amorph - Meryn ,Germany,1994,156.60511363636357
Amorph - Moonflow ,Germany,1994,143.5546875
Amorph - Navigator ,Germany,1994,151.99908088235293
Amorph - Overscan ,Germany,1994,143.5546875
Amorph - Parazyt,Germany,1994,143.5546875
Amorph - Spaceworks ,Germany,1994,143.5546875
Amorph - Sunflow,Germany,1994,161.4990234375
Amorph - The Dream ,Germany,1993,156.6051136363636
Amorph Morphide - Emotional Experience ,Germany,1994,135.99917763157896
Analog Signal  - Analog Signal ,Germany,1994,103.359375
Analog Signal - Analog Signal (Elemental Mix),Germany,1994,156.60511363636357
Analog Signal - Memories,Germany,1994,154.267723880597
Analog Vogue - Odysse,Germany,1993,147.65625
Analog Vogue - SwayEr,Germany,1993,184.5703125
Analog Vogue - SwayEx,Germany,1993,143.5546875
Analog Vogue - SynRmx,Germany,1993,147.65625
Analogue - Blackout,Germany,1992,187.92613636363646
Analogue - Entrance To Infinity ,Germany,1992,143.5546875
Analogue - Phases Pro One,Germany,1992,129.19921875
Analogue - Spacid 303 ,Germany,1993,132.51201923076928
Analogue - Spacid 303 (Remix 1994) ,Germany,1994,132.51201923076928
Analogue - Torus (Retrospective) ,Germany,1992,129.19921875
Analogue - Tricky,Germany,1992,139.67483108108104
Andreas Dorau - Stoned Faces Don't Lie (Hooligan Remix),Germany,1994,151.99908088235293
Andreas Leifeld - Call Me,Germany,1994,132.51201923076925
Andromeda - Dream Frequencies,Germany,1993,151.99908088235293
Andromeda - Trip To Space,Germany,1993,151.99908088235293
Angel Heart - Carnevale 303,Germany,1994,132.51201923076925
"Angel Heart - Far, Far Away ",Germany,1994,143.5546875
"Angel Heart - Far, Far Away (Heart Core Mix)",Germany,1994,126.04801829268291
Animation - Balanced Release (Circle Line Version),Germany,1994,151.99908088235293
Animation - Rapid Access,Germany,1994,139.67483108108107
Animation - Wide Scan,Germany,1994,135.99917763157896
Anti Time - Dream Baby (Original Version),Germany,1991,123.046875
Anti Time - Free Recipe (Free Money Free Love),Germany,1991,117.45383522727273
Aquaform - El Sueño,Germany,1994,103.359375
Aqualite - Outback (Misantrophic Mix) ,Germany,1994,103.359375
Aqualite - Outback (Philantrophic Mix) ,Germany,1994,151.99908088235293
Aqualite - What Is Love,Germany,1994,103.359375
Arena - Fly Away (Club Mix),Germany,1994,135.99917763157896
Arena - Fly Away (Harmony Mix) ,Germany,1994,143.5546875
Arena - Fly Away (Skacid Version),Germany,1994,135.99917763157896
Ariana - I Think Of You,Germany,1994,147.65625
Arpeggiators - Discover Your Innerself (Norman Mix),Germany,1994,105.46875
Arpeggiators - Express Yourself (Norman Mix),Germany,1994,147.65625
Arpeggiators - Freedom Of Expression,Germany,1992,147.65625
Arpeggiators - Freedom Of Expression (Braincell Mix) ,Germany,1994,109.95678191489358
Arpeggiators - Helter Skelter,Germany,1992,132.51201923076925
Arpeggiators - Trancemission,Germany,1992,151.99908088235293
Arpeggiators - X-plain The Un-x-plained (Resistance D Mix),Germany,1994,156.60511363636357
Art Academy - Energie,Germany,1990,123.046875
Art Academy - The banker,Germany,1990,120.1853197674418
Art Academy - The Banker (HWSK Mix),Germany,1990,120.18531976744181
Arte Bionico - Bionico,Germany,1994,107.666015625
Arte Bionico - Neon Jungle,Germany,1994,112.3471467391305
Arte Bionico - Voyage Bionico,Germany,1994,164.0
Arte Bionico - Voyager,Germany,1994,139.67483108108107
Ascorbin Acid - Last Sunset,Germany,1994,143.5546875
Ascorbin Acid - Mirror Image,Germany,1994,143.5546875
Ascorbin Acid - Sweet Liberty,Germany,1994,139.67483108108107
Assi - Fred Gabberstein Loves Wilma (Barney´s Knusperbeat Mix),Germany,1994,169.44159836065572
Assi - Fred Gabberstein Loves Wilma (Komakino Mix),Germany,1994,175.18538135593215
Assi - Fred Gabberstein Loves Wilma (Slutty Nutty Mix),Germany,1994,120.18531976744181
Astral Zone - Fast Access ,Germany,1994,114.84375
Atom Heart - I See More Than You Do,Germany,1994,132.51201923076923
Atom Heart - Lightfast,Germany,1994,75.0
Atom Heart - Milagro,Germany,1994,126.0480182926829
Atom Heart - Motherboard,Germany,1994,107.666015625
Atom Heart - Rainecho,Germany,1994,129.19921875
Atom Heart - Spadix,Germany,1994,129.19921875
Atropin Project - No More ,Germany,1994,160.0
Attesa. - World In Motion (Extended Club Mix),Germany,1993,135.99917763157893
Attesa. - World In Motion (Finalmente Mix) ,Germany,1993,135.99917763157896
Attesa. - World In Motion (Pip Mix) ,Germany,1993,132.51201923076925
AudioSex - D. 10-30 ,Germany,1992,105.46875
AudioSex - Happy Acid (Resonance Mix) ,Germany,1992,105.46875
AudioSex - Happy Acid (Slide Mix) ,Germany,1992,105.46875
Audiosex - Hardcore Acid E.P. Vol. 2 (A1) ,Germany,1992,151.99908088235287
Audiosex - Hardcore Acid E.P. Vol. 2 (A2) ,Germany,1992,139.67483108108107
Audiosex - Hardcore Acid E.P. Vol. 2 (B2) ,Germany,1992,126.04801829268291
AudioSex - The Acid Flash ,Germany,1992,105.46875
Aural Traxx - 36 Ophiuchi B,Germany,1994,135.99917763157896
Aural Traxx - Brainworm ,Germany,1994,112.34714673913047
Aural Traxx - Phase 03a ,Germany,1994,126.04801829268291
Aural Traxx - Procyon ,Germany,1994,132.51201923076925
Avalon - Cutt Off ,Germany,1994,161.4990234375
Avalon - Inner Reflection ,Germany,1994,91.0
Avenue - Mi Amore,Germany,1987,112.34714673913048
Avionique - Die Schallmauer (March I),Germany,1992,126.0480182926829
Avionique - Die Schallmauer (March II) ,Germany,1992,126.04801829268291
AWeX - Darkside,Germany,1994,184.5703125
AWeX - It's Our Future,Germany,1994,139.67483108108104
Azid Force - Amanita Muscaria,Germany,1994,143.5546875
Azid Force - Brain Killer,Germany,1993,156.60511363636357
Azid Force - Breakattack,Germany,1993,105.46875
Azid Force - Far From E,Germany,1993,103.359375
Azid Force - Stropharia Cubensis,Germany,1994,195.01768867924525
Azid Force - Theonanacati,Germany,1994,132.51201923076925
Azimuth - Dermatronic,Germany,1994,154.26772388059698
Azimuth - Saigon,Germany,1994,151.99908088235293
Azimuth - Structure,Germany,1994,103.359375
B Movement - Flowmotion,Germany,1992,139.67483108108107
B Movement - Godess Of Love,Germany,1992,107.666015625
B Movement - Six Stages,Germany,1992,126.0480182926829
B-Flame - Some Get Saved,Germany,1994,147.65625
B-Flame - Some Get Saved (Base Mix),Germany,1994,147.65625
B-Flame - Tochluaney,Germany,1994,161.4990234375
B. Movement - Natural elements,Germany,1991,126.04801829268294
B.G. The Prince of Rap - Can we get enough,Germany,1994,126.04801829268288
B.G. The Prince of Rap - Can we get enough (Remix),Germany,1994,132.51201923076925
B.G. The Prince Of Rap - Can We Get Enough (The Remix),Germany,1993,135.99917763157896
B.G. The Prince of Rap - Can't love you,Germany,1994,135.99917763157896
B.G. The Prince of Rap - Colour of my dreams,Germany,1994,135.99917763157893
B.G. The Prince of Rap - Give me the music,Germany,1991,117.45383522727273
B.G. The Prince of Rap - Give me the music (Album version),Germany,1991,117.45383522727272
B.G. The Prince of Rap - Give me the music (Dance devotion mix),Germany,1991,117.45383522727273
B.G. The Prince of Rap - Giveme the music (Club devotion mix),Germany,1991,117.45383522727273
B.G. The Prince of Rap - I'm real,Germany,1991,120.18531976744183
B.G. The Prince of Rap - Miles away,Germany,1994,129.19921875
B.G. The Prince of Rap - Move to love,Germany,1991,112.34714673913048
B.G. The Prince of Rap - Rap to the world,Germany,1991,123.046875
B.G. The Prince of Rap - Rock a bit,Germany,1994,143.5546875
B.G. The Prince of Rap - Round and round,Germany,1994,135.99917763157896
B.G. The Prince of Rap - Take control of the party,Germany,1991,120.18531976744181
B.G. the Prince of Rap - The colour of my dreams (Dreamedia-mix),Germany,1994,135.99917763157896
B.G. The Prince of Rap - The dancer,Germany,1994,132.51201923076928
B.G. The Prince of Rap - The power of rhythm,Germany,1991,109.95678191489355
B.G. The Prince of Rap - This beat is hot,Germany,1991,112.34714673913048
B.G. The Prince of Rap - This beat is hot (Hard'n'Heavy edit),Germany,1991,112.34714673913048
B.G. The Prince Of Rap - This Beat Is Hot (Ultimix),Germany,1992,112.34714673913047
B.G. The Prince of Rap - Walk over the rainbow,Germany,1994,132.51201923076928
B.G. The Prince of Rap - Wanna be free,Germany,1994,132.51201923076925
B.G. The Prince of Rap - What 'cha gotta do is dance,Germany,1991,120.18531976744181
B.O.D.Y. - Who's The Man (B-Mix),Germany,1994,135.99917763157893
B.O.D.Y. - Who's The Man (Maxi Version),Germany,1994,135.99917763157893
B.O.D.Y. - Who's The Man (Square Root Mix),Germany,1994,135.99917763157896
Bad Blood - Ego ,Germany,1994,147.65625
Bad Blood - Flow,Germany,1994,151.99908088235293
Bad Blood - Give Me A Reason,Germany,1994,151.99908088235293
Bad Boys Blue - Hungry For Love (Hot-House Sex Mix) ,Germany,1989,126.04801829268291
Baphomet - Exiter,Germany,1993,139.67483108108104
Baphomet - Reconcile,Germany,1993,107.666015625
Baphomet - The Force,Germany,1993,147.65625
Barbarella - Barbarella (The Secret Chamber Of Dreams),Germany,1992,129.19921875
Barbarella - Barbarella 2000,Germany,1992,139.67483108108107
Barbarella - Barbarella 4 (The Future),Germany,1992,181.33223684210526
Barbarella - Barbarella Butterfly,Germany,1992,132.51201923076925
Barbarella - Barbarella I,Germany,1992,135.99917763157893
Barbarella - Barbarella II,Germany,1992,129.19921875
Barbarella - My Name Is Barbarella,Germany,1992,135.99917763157893
Barbarella - The Future,Germany,1992,135.99917763157896
Barbarella - The Mission,Germany,1992,132.51201923076925
Barbarella - The Secret Chamber Of Dreams,Germany,1992,129.19921875
Barbarella - The Spaceship,Germany,1992,143.5546875
Bas Molendyk - Extension,Germany,1994,147.65625
Bas Molendyk - Just Married,Germany,1994,109.95678191489355
Bas Molendyk - Wicked ,Germany,1994,151.99908088235293
Base Scan - Disco D. (German Dub-Mix) ,Germany,1991,123.046875
Base Scan - Disco D. (German Wave-Mix) ,Germany,1991,123.046875
Base Scan - I Feel Good (Housemix) ,Germany,1991,123.046875
Basic Energy - (Tribute To The) House Nation (Basic Mix),Germany,1992,132.51201923076928
Basic Energy - (Tribute To The) House Nation (Orion Mix),Germany,1992,129.19921875
Basic Energy - Gimme A White Line,Germany,1992,184.5703125
Basic Gravity - Esoteric,Germany,1994,139.67483108108107
Basic Gravity - Northern Light,Germany,1994,198.76802884615384
Basic Gravity - Rajah (Rise Mix),Germany,1994,151.99908088235293
Basic Gravity - Rajah (Serious Mix),Germany,1994,154.267723880597
Basicly Sonic - Let's Go To The Playground (Extended Version),Germany,1994,132.51201923076923
Bass Bumpers - Can't stand still,Germany,1991,123.046875
Bass Bumpers - Can't stop moving around,Germany,1991,123.046875
Bass Bumpers - Don't fight the feeling,Germany,1991,126.04801829268291
Bass Bumpers - Get The Big Bass (Punch Mix),Germany,1992,123.046875
Bass Bumpers - Give yourself to me,Germany,1991,126.04801829268294
Bass Bumpers - Good Fun (12'' Power Mix),Germany,1994,198.76802884615384
Bass Bumpers - Good Fun (Damage Control Mix),Germany,1994,151.99908088235296
Bass Bumpers - Good Fun (Hard Attack Mix),Germany,1994,161.4990234375
Bass Bumpers - Good Fun (Peter Parker Mix),Germany,1994,132.51201923076925
Bass Bumpers - Move to the rhythm,Germany,1991,126.04801829268293
Bass Bumpers - Move To The Rhythm (THK Remix),Germany,1992,129.19921875
Bass Bumpers - Move To The Rhythm (THK Remix),Germany,1993,129.19921875
Bass Bumpers - Mystery,Germany,1991,191.40625
Bass Bumpers - Runnin' (Carrot Radio Mix) ,Germany,1993,135.99917763157896
Bass Bumpers - Runnin' (Marvellous Trance Mix) ,Germany,1993,139.67483108108107
Bass Bumpers - Runnin' (Tequila Club Mix),Germany,1993,135.99917763157896
Bass Bumpers - The M.E.L.L.O.,Germany,1991,126.04801829268294
Bass Bumpers - The Music's Got Me (Charismatic Mix) ,Germany,1993,132.51201923076925
Bass Bumpers - Touch me,Germany,1991,126.04801829268291
Bass Bumpers feat. E.Mello & Felicia - The Music's Got Me,Germany,1991,129.19921875
BassXPansion - Mind Crash,Germany,1991,123.046875
BassXPansion - Tranceformer (Holographic Dub),Germany,1991,126.04801829268293
BassXPansion - Tranceformer (Mental Cube Mix),Germany,1991,126.0480182926829
Be Zet - Blue Illusion (Dusky Mix),Germany,1994,147.65625
