Song,Nation,Year,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
Reese - Rhythm track 1,USA,1988,0.020806932500048822,0.36472500426910814,4.972889637520371,11.303900303374249,9.77175033244411,0.021987425380530643,0.4188369984401103,6.139270757034885,11.845138263814514,9.611235111130863,0.010813485462473264,0.2933866287510828,6.254827266468278,11.412351715313392,10.11018583483072,0.012001381536591147,0.1250936752545708,10.16789503919511,14.013479987889474,10.630695442359135
Reese - Rhythm track 2,USA,1988,0.0226489881052913,0.37046736939893377,5.044639757954076,11.846917636278794,10.25943325417553,0.023922398802968817,0.7001994032365656,8.963810816436958,13.459853860299615,9.136666037164437,0.016672575793788617,0.20267995611139067,7.858826653844069,12.757774516239163,10.824319916700299,0.01836312365136489,0.12061785749652394,8.336603236800654,13.730574849420687,10.71546153765094
Reese - Rhythm track 3,USA,1988,0.020765366703758024,0.37385547282324033,5.693883028147434,12.157778859703585,10.288435492632658,0.0205183879744277,0.7469354476823161,9.846809788773317,13.983316328284655,9.130036646617212,0.01567507319462404,0.1843504976446228,7.832160013582887,12.187605778877757,10.57055887428882,0.016102519564391182,0.12048160973830394,7.9095813022414205,12.485349184697249,10.444796448287736
Reese - Rhythm track 4,USA,1988,0.020734292654079497,0.2929292600376063,5.472888627048213,11.466723353900782,9.374134060573544,0.02034599901787865,0.36186358625683096,7.185786656254705,12.082017485400014,9.113644017762075,0.019863024364158977,0.2751164597033126,8.737106464610326,12.895134438234619,10.447208170802432,0.01199481481075443,0.10145356586300586,9.650989374878993,13.438636327979665,10.74553183380168
Reese - Rhythm track 5,USA,1988,0.02149626271310716,0.15032209539513677,5.05412969666316,11.783557453709344,10.08362364145525,0.019982021891224746,0.19446933227467983,8.063056539043485,13.433207120304226,10.227861585983602,0.01695126953230112,0.1445732920828627,7.992725491580535,13.249988495874113,10.757484169090025,0.0165659519097956,0.10586803895147112,13.328876135796152,17.06713489075058,10.565048811149248
Reese - Rock to the beat,USA,1989,0.011627586643780335,0.051933877785063816,2.5614642554613822,9.760640280948413,9.432395900120873,0.01096204729137469,0.006311985397345858,4.318090625580425,10.548013675586834,9.298199389472432,0.008327334135270523,0.0654688510422777,4.022560969092301,10.284497999995127,9.89958326526749,0.011133285978115798,0.054944340010018605,4.343858702653276,10.262861701347155,9.935314811857577
Reese - Rock to the beat (Hitman mix),USA,1989,0.020202951572153953,0.22123919680856882,6.497852187584238,12.220604588480468,9.711112098576564,0.013393260537204056,0.2259475513272351,9.916841698980647,14.40649476963065,8.951050598551832,0.018334942674359048,0.23329234197602458,10.092877333733254,14.063173045526181,10.606648236551528,0.008588515033518346,0.10542311457910308,8.411631124309157,12.955121875468985,10.59293019869174
Reese - Rock to the beat (Mayday mix),USA,1989,0.019828102261480143,0.2385976571671602,5.4537050501171835,11.144026804990332,9.529657901158624,0.014346105315327122,0.32111861296702165,7.749202300812828,12.613931123535387,9.196960919745718,0.014869969129271831,0.2330192477609966,7.870900401426978,12.868784047345383,10.308430336314062,0.00862855908323862,0.13358627722086422,8.311538908269368,13.744624649105198,10.572862749754643
Reese - Station of the groove,USA,1991,0.015025808075756304,0.1178064402392192,3.1058191116693417,10.350672691927166,9.524331991333343,0.018958940724885312,0.12526106395947917,5.496403525456622,11.180180369941949,9.165780673198709,0.01857122198005356,0.1195611962239214,6.040859205464633,12.099272965299418,10.480476818364544,0.01233841834337572,0.0938016560348624,5.442254408442053,11.230136223461908,10.05607077728269
Reese - Station of the groove (Extended mix),USA,1991,0.018744231814033105,0.11333101422581467,4.123355742307579,10.752080152666334,9.398869458761554,0.017543025550046838,0.13703394084423742,6.603613769290241,11.736175417975423,8.894950755281144,0.017901006503987942,0.12630927910007278,7.081472952469175,12.552696677263961,10.473677434330263,0.00981749717903579,0.09332920809322715,6.076963218334701,11.548681225795857,10.143321901497591
Reese - The Heavens (Kevin Saunderson's Mix),USA,1989,0.014017705532561828,0.20421752618688488,4.727775762839774,11.411641693029988,10.11829496103407,0.01123813485161787,0.2297972533757737,8.635113972293881,13.258240094582188,9.33979844517784,0.007113951722492686,0.22047987477462389,5.203867346687775,11.09097605871736,9.943971345115129,0.008066397005720906,0.14107956155654608,6.214984122246349,11.577729355818892,10.598772815034284
Reese - The Heavens (Mayday Mix),USA,1989,0.016968399687078327,0.21824189443451344,5.73032660059467,11.741449985921108,9.703417996503276,0.014121650678781211,0.3017827794038582,8.692604497830644,13.404871935164222,8.918301858205627,0.008454104812741281,0.17615715003600801,6.235348330375099,11.23710882622472,9.942224940011304,0.0051209887576901215,0.20301129110783417,6.4257464739461,11.847105841588512,10.460467820337483
