Song,Nation,Year,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
DJ Pierre - Blazing Inferno,USA,1994,0.0275,0.9924012764858132,-11.657239624840097,-23.60165977394915,11.305842017788848,0.015,0.9947063623780628,-17.1813195765279,-24.67626837657801,7.820310281415789,0.0125,0.9866816683021784,-19.511576408677893,-33.9220234063468,14.301936971779476,0.01,0.9702319584259126,-23.818945470855795,-43.12171643622163,18.124218794357738,129.19921875
DJ Pierre - Come And Fly With Me (70's House Mix),USA,1990,0.0475,0.8863264341251296,-6.147968724188573,-20.38147761894634,13.374177085614985,0.0225,0.992421210057726,-13.167945472807848,-24.369130941657044,8.633618758580651,0.0225,0.8681723471931444,-13.718012146910475,-29.675358077229944,14.294279292988083,0.0225,0.6190443369536496,-13.241701751847298,-31.401289700116656,16.84992543279772,126.04801829268293
DJ Pierre - Distorted Luv,USA,1992,0.05,0.9837296148808368,-5.756662846518393,-17.70959983302484,10.363973632609913,0.04,0.997938023516446,-7.453251518360499,-18.7252138494209,7.981916639489323,0.0125,0.9808644495944454,-19.209530773331824,-33.53599487421179,12.532968959573772,0.0125,0.4521699604444369,-19.33899124293736,-39.80822404921277,18.390609114606377,120.18531976744184
DJ Pierre - Drive Me In Your Car (DJ Pierre's For Real House DJs Only Underground Mix),USA,1990,0.03,0.8901873699364298,-10.780816870698814,-25.054966600124683,12.896741101056564,0.0175,0.9792703224052008,-14.922315981218311,-27.84205635445632,10.343492101545268,0.015,0.7599046893059205,-17.938098164262904,-32.587879664303145,13.985958132917474,0.01,0.3499576011761218,-21.499179943243817,-39.42886349628605,16.982921224590264,123.046875
DJ Pierre - Fall,USA,1993,0.055,0.9197233311039072,-4.636642971881484,-19.27633981117957,13.105268645638347,0.02,0.9360799360053438,-14.097097919033741,-25.22216923323453,9.886387021457958,0.035,0.9216852527012347,-8.891657883797372,-24.096541411859388,13.82664220137977,0.02,0.9415695957623504,-14.517892113386747,-32.606351569855725,16.34680825337398,123.046875
DJ Pierre - Fire Drill (Fire Drill Mix),USA,1994,0.035,0.9268445779555378,-9.149849399154093,-22.781692836547933,12.417081195974784,0.0175,0.9533716096962404,-15.998694121594005,-28.38518398006625,10.096870244325563,0.0225,0.9481881296001118,-13.86615797013469,-28.432975255015812,12.882951985701885,0.01,0.7203849722615803,-21.6859444313732,-41.55655627604777,18.1522408910376,126.04801829268293
DJ Pierre - Fire Drill (Smoke Alert Mix),USA,1994,0.0575,0.9230846116644582,-4.326919139571938,-18.501079755514105,12.519553043374529,0.0275,0.9532606288911134,-10.9104318530011,-21.68224658762222,9.22395934394357,0.03,0.9534258798742308,-10.663898617161314,-24.11922418775667,12.687572590609356,0.0225,0.8136678121225148,-13.823630421780772,-32.94834864903721,17.99485703484338,126.04801829268293
DJ Pierre - Give Me What I Want (Club Mix),USA,1993,0.025,0.963712891676094,-12.06349448921811,-26.655000632473502,14.29081343919982,0.01,0.9545180513161952,-20.42355579626319,-33.42176106610827,10.72804826994409,0.015,0.981779392081814,-17.435681675182742,-33.169869109144166,15.326283392536014,0.0125,0.982250999289036,-19.06207376679716,-37.91844689557125,17.817380294903536,123.046875
DJ Pierre - Give Me What I Want (Tribal Mix),USA,1993,0.0225,0.967451427184552,-13.151498188723108,-28.209020382664484,14.43978203568238,0.005,0.9505220088709022,-28.49011724326367,-38.57807712653465,10.496701084106547,0.015,0.9787210757883693,-17.86335988892914,-33.6623155660313,15.200764435687601,0.0125,0.9851479877189426,-19.0193627272089,-37.82280435526191,17.518474461439393,123.046875
DJ Pierre - Happyness,USA,1992,0.035,0.978134952440742,-9.467067286743283,-20.040145212788016,9.881793120966751,0.025,0.9905032481670164,-12.295023740921485,-20.004868821101255,6.947641259118829,0.01,0.9621534318704948,-22.915428432088312,-37.157331645453205,13.962047306655478,0.01,0.5135765045839646,-22.84635485282907,-40.36985034348217,15.161493788257722,123.046875
DJ Pierre - I Want You (DJ Pierre Wants Juliet Dub),USA,1994,0.03,0.7850954702286927,-10.52510932510071,-24.91351062885988,13.124966872402917,0.0125,0.9299622204138315,-18.92553153159394,-28.09041300434093,8.264568495401983,0.0125,0.8876505964094036,-19.906124575723155,-35.22184464299012,14.549753962578414,0.0175,0.6749044073965162,-16.17707681298632,-33.59960088309559,16.177424079771423,123.046875
DJ Pierre - I Want You (Short Dub),USA,1994,0.045,0.8377191900054433,-6.4766254318049885,-21.795054431942532,13.489316478858434,0.015,0.8971709567714594,-17.020057814557944,-28.7074609430904,8.65220097559412,0.0175,0.8927952583889346,-16.441375368982122,-32.68213267803961,15.056875310798986,0.025,0.8286375137562633,-11.953930897396631,-31.084933085280117,17.270678404610052,123.046875
DJ Pierre - Let The Music Take You Higher (Original Yo Yo Mix),USA,1994,0.0275,0.8061860635837951,-11.659523405651292,-24.086641845944246,11.899582454093023,0.015,0.946958464740676,-16.908984814857767,-26.130658073973592,8.362514501054186,0.015,0.4277995905231713,-17.04234351376823,-34.119512030917214,16.009534803105698,0.01,0.8014950108186653,-23.09496523039889,-41.79036301712463,17.702536867720717,126.04801829268293
DJ Pierre - Let The Music Take You Higher (Vocal Mix),USA,1994,0.0575,0.7887608225077307,-4.4042560957145795,-17.435011462425805,12.234727315049135,0.0275,0.9289675114575717,-10.866394557106645,-19.11605311540999,8.101185729870656,0.03,0.46787045009041506,-10.185311055707396,-25.568601287190447,14.63157933525901,0.02,0.6145262714322908,-14.279018548328207,-32.71454026475966,17.260986957120835,120.18531976744184
DJ Pierre - Let The Music Take You Higher (Wild Honey Mix),USA,1994,0.06,0.8981785776835507,-4.211866819253794,-15.446646194899524,10.02948111841489,0.04,0.9688267714054282,-7.8609912558820385,-16.258875096834892,7.516605851126107,0.0275,0.5410332553224784,-10.91697716510929,-29.00589504537364,15.302854838373245,0.015,0.7565427721451409,-16.803069291768693,-35.44390414763339,17.672305819490145,120.18531976744184
DJ Pierre - Love Izz...,USA,1992,0.03,0.9529474863067882,-10.471628642286243,-19.33909481470477,8.260618456582547,0.025,0.9652970700869041,-12.42314315131052,-19.335532584331695,6.606595976082344,0.01,0.9345933491485517,-23.759809111604085,-38.115655357699694,12.400995247109478,0.005,0.42367516661077587,-27.285556110903734,-45.758403064491944,16.815358047855526,123.046875
DJ Pierre - Muzik (The Siren Mix),USA,1992,0.025,0.9774308078443934,-11.864088891689553,-27.47973835429611,14.150304903056332,0.01,0.9985441975565864,-21.96447345121512,-33.58671713484932,10.023967618036984,0.015,0.9922786436188804,-17.48047907873873,-33.89870839449743,14.436342718961583,0.01,0.7453871704903777,-20.93964701334892,-39.30453558182483,17.7954043781205,123.046875
DJ Pierre - Muzik (The Tribal Wild Pitch Mix),USA,1992,0.0325,0.9844546436789312,-9.626059157073446,-23.7577334954488,13.563751443282982,0.0125,0.9999678255742132,-18.17459776426264,-28.139997210592284,9.954012302531204,0.0175,0.9877965565579492,-15.15591910177312,-29.48729771319907,14.163560958390422,0.015,0.768386376172754,-18.444244120001677,-37.14305140519723,17.334932508635255,123.046875
DJ Pierre - Muzik Is Life (Life Long Mix),USA,1992,0.03,0.9695778511274826,-10.282980038785997,-24.848973257919603,13.172142690462362,0.0175,0.995351155668219,-16.045136470868442,-28.524490727017508,9.738699641386468,0.015,0.9787832879774996,-16.558537544334563,-31.26956212067576,14.10311108708725,0.01,0.7439417477800679,-21.772796782465,-38.88964877316716,16.506574853107978,123.046875
DJ Pierre - Time & Time Again (DJ Pierre's Club Mix),USA,1990,0.0425,0.8625330669468529,-7.377137011035902,-21.118133533586096,12.183159682971299,0.0175,0.9695400160624835,-15.47067681447313,-26.78973662786187,9.260028473641796,0.0275,0.8027943549771783,-11.334701274464337,-26.066523786408858,13.354138407994824,0.01,0.5881536804199663,-20.303999411554372,-37.84018126482242,16.40334366442243,126.04801829268293
DJ Pierre - Time & Time Again (Four On The Floor Mix),USA,1990,0.035,0.9233760155574242,-9.114128546049631,-22.085838935078613,11.836688972401168,0.0225,0.9621550467808412,-13.364369527951414,-23.744245782957016,8.696790812947418,0.0175,0.7742125726482235,-16.264720988667946,-31.297174590387897,13.951231008987051,0.01,0.9364406218361172,-20.581328100552934,-37.87937901279399,16.442480150109027,123.046875
