Song,Nation,Year,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
WestBam - Cold Train (Railway - Dub),Germany,1989,0.2858425168107437,-2.373263687416896,-1.3852261681288134,-1.287733207329763,1.6111524893590363,0.5156884807374278,-6.755194004365127,-1.6870296123817017,-1.1273604678551288,1.4766803399375776,0.19489342164071213,-1.0362491655356345,-1.9495137017259947,-1.1927562641078016,1.3782240209544316,0.6596915024649294,-0.5397927430980234,-1.1909665462653072,-0.9492947590179142,1.0680942481344433
WestBam - Der Bundespräsidenten-Mix,Germany,1990,0.48760964845334576,-2.6308586851327718,-1.891027910195942,-1.2966156827904889,1.6945067971642822,0.8705271888815052,-3.403806477253564,-1.222327638548791,-0.8787873112117891,1.4469919000230094,0.6942510914301412,-1.3194200044446192,-1.5446239668144999,-0.9864454882143759,1.3580705317232389,1.7700377987596176,-0.912439795998486,-1.6265355952906264,-1.0647932758245904,1.2441322473750462
WestBam - Der Pink Panther-Mix,Germany,1990,0.9934388098039253,-1.392842194962899,-0.8685744459710052,-0.9875228237964551,1.8447659241841665,1.6725880170407401,-1.5813298903847581,-0.3877722366337358,-0.4742037732289249,1.4647037456034757,1.0794603759983123,-0.9184770144093258,-1.3907631167771182,-1.0753877532504035,1.4397626095588067,2.2680617080682364,-0.5273450668337475,-0.32716937565332754,-0.6539458829890283,1.2735851172316213
WestBam - Der Verfall,Germany,1988,0.46663404956647936,-1.234882443088275,-0.5657489941846603,-1.0925134948018864,1.5990837189005673,1.3557707720685017,-1.0695024062938694,-0.21156919711221794,-0.7004056650321026,1.5803773861814654,0.6646127365064826,-1.1607972203642418,-0.6221628481768497,-0.9222413549463634,1.4074565911084624,1.6894656467178673,-0.6826529836681867,-0.07073199090272476,-0.677255513006873,1.4753785690215038
WestBam - Disco Deutschland (Bomb The House Mix),Germany,1988,0.8330436556969706,-1.424136259586578,-0.8767237982068936,-0.9055293721234655,1.3981675289966962,1.4631834245840836,-1.3896245306537705,-0.4465370970379934,-0.5840276138971869,1.4093753703598013,1.0183641293932708,-1.0444782099510064,-1.3181604524261668,-1.0096546182244848,1.302579616843486,1.263257925861585,-0.8184235538884989,-1.425041423513906,-0.8598015164267209,1.1222526709363607
WestBam - Disco Deutschland (Unofficial Record Art),Germany,1988,0.7006502804420662,-1.9587769164087976,-0.8662368636293766,-0.9570605611902165,1.3805438611399437,1.0846832113645148,-1.6300276707974592,-0.6742670649023289,-0.6979176096028215,1.5095826970970887,1.0020570580394,-1.8104839849216097,-1.276885793003416,-1.0251020309460448,1.448867400257874,1.3939622796488076,-0.5539595210373763,-0.6145569576134582,-0.8014137751257437,1.2057249074435685
WestBam - Do It In The Mix (Edit),Germany,1988,0.5332101690405631,-1.5743443785360383,-0.7420914471627796,-0.8854459979676867,1.286571750136436,1.9796874652797678,-0.9152122201476471,-0.08517584500715797,-0.516927154151603,1.456086827015145,0.6624982268599846,-1.711751069989076,-1.1585457604699567,-0.9759772970469208,1.2793469710097367,0.6688322537867355,-0.6872171502080492,-1.0451269780870809,-0.8855561240070611,1.2124390517437569
WestBam - Escapist,Germany,1994,0.17004296791314608,-1.3800447892768357,-0.6311347484559089,-1.183801516426756,1.519241153184808,1.223077693098191,-2.8883065528514797,-0.8074625298175798,-0.861620977767842,1.5367046067121617,1.5382431654920494,-0.995366725484606,-0.061815648261189966,-1.289051255787568,1.49066676341214,0.9699672143538295,-0.9732895329811786,-0.6656421486224449,-1.2559042439374055,1.3913168817140242
WestBam - Found A Lover,Germany,1991,0.005249365810003413,-2.730937176315779,-1.4887671691169606,-1.1923991793511703,1.6111290783871788,1.1232344729743082,-3.4860073504634164,-1.1101001922105416,-0.7889987481718688,1.3763099715011293,0.3351346254529888,-2.050231658022678,-1.4418609789494554,-1.1214312638114388,1.4206449344466103,0.6350850119524718,-0.7806174014706018,-0.9619341521615158,-0.832057177355937,1.167144745436487
WestBam - Go East Bam,Germany,1989,0.29552439137819236,-1.1309815136793913,-0.7671403398634807,-1.3454191078445488,1.5933056167217503,1.0115998535018416,-1.2753076581951512,-0.16711033408427461,-0.6767978959279829,1.7614262147743893,0.46250068144868456,-0.6802586674452867,-0.6080540120990696,-1.3459774427029974,1.5051570501713,0.32129824793606104,-1.666429400972805,-1.1336995607969245,-0.7379189475393417,1.0910003207324266
WestBam - Hangover In Hamburg,Germany,1989,1.168243764618621,-1.8375267352860047,-0.7158779521266387,-1.0497709488978209,1.5525093412859663,2.012588781916328,-1.3723817567386711,-0.3395423718480559,-0.5685304709947134,1.6032691188758468,1.0181784820959767,-2.1814039997234578,-1.2088186092626234,-0.9079505828803014,1.4294266224570984,2.2792765202903973,-1.3509795144606767,-0.23826278299677844,-0.4916430636376043,1.4696929001134895
WestBam - Hold Me Back,Germany,1989,0.07739946638567974,-2.581727748342388,-2.089407950919705,-1.050335409150209,1.3300302901370868,0.6522798768151121,-3.4470579003620574,-1.6407358654704,-1.1957025745367686,1.491128531017486,0.4384234385485841,-1.920563086384882,-1.7188676561758305,-1.0054540557830043,1.288483216207443,0.5208590574783645,-0.7519817937352415,-1.8034539464109816,-1.0384211541269806,1.2738710146540073
WestBam - Hold Me Back (Remix),Germany,1990,-0.8572302106064595,-3.561250539303989,-2.349141561805528,-1.4168405475500203,1.4062149512908162,-0.0007503388382758314,-4.143654924418614,-1.437007745851781,-1.198166093599344,1.6720528852196042,0.0725903951056258,-2.160628633430421,-0.8806065245299882,-1.0893671750314908,1.2977880182296413,0.058160527549411395,-1.1889381281340132,-1.6202990682196161,-0.9079032226078021,1.0837000373124228
WestBam - I Can't Stop,Germany,1991,-0.756621519062235,-4.2386013484546625,-3.235307252339575,-1.1200881439033559,1.3262294282847378,0.6626301056088059,-4.966053475431008,-1.0955688989709076,-0.9823301154099302,1.6351663208887603,-0.3364165748968087,-2.830589604620219,-3.581066759847877,-1.4801275032274086,1.4314517897799557,0.007633526733892931,-1.85290179402483,-3.176203068093388,-1.4195809275876172,1.3204063780660826
WestBam - I can't stop (A Homeboy Versus WestBam mix),Germany,1991,-0.030473839862756417,-2.8721600768007853,-2.9692256966744033,-1.2296618575021985,1.327213994449475,0.7796879850940275,-2.50670050652899,-1.5123016203681652,-0.9795715403063244,1.573803589550787,0.24861988429744736,-2.094394045176125,-2.602984691845661,-1.2268023617478117,1.3105273358914082,0.15077371878457163,-2.36474055341468,-2.740104189241794,-1.3038722232269264,1.247683005521376
WestBam - I can't stop (club mix),Germany,1991,0.18440174796567207,-2.1060416521042606,-2.801571785866538,-1.1962944649263356,1.4374636942353043,0.899118632380978,-2.7556559665344778,-1.4632014548624692,-1.166401139269357,1.5917295680173205,0.2943582183969478,-1.5661658288178875,-2.7264843207761937,-1.1662996249455098,1.2751590335625822,-0.0007799217819086513,-1.7252739424434638,-3.199261578225925,-1.3661187942473363,1.2805045759980445
WestBam - Is It Raw Enough (Song),Germany,1990,0.5683970826816812,-2.9824413714650473,-2.4636108920536737,-1.3892327878948305,1.6118096865248703,0.5354185463826139,-2.8072412022185325,-2.4567181404637815,-1.569230945822355,1.7863618037929536,0.9382443103463108,-0.9898770825349178,-2.1009695019979047,-1.1748905261789717,1.3571974628401229,0.46455655499958554,-1.3664806074611113,-1.7737584035902516,-0.9830209068897418,1.1527965921679106
WestBam - It's Over,Germany,1989,0.9942592301787854,-1.2408819964052495,-1.054052666680992,-1.4440642906821917,1.8253826183359296,2.118695867167099,-1.9612553296964026,-1.433691828152753,-1.0672617376031608,1.5517354060812345,1.1739633944748868,-0.7824134667953658,-2.0654786494096977,-1.4938165248341895,1.5071596598787302,1.3507928769096587,-0.37845185424703726,-1.2114920008264392,-0.8272127746291391,1.2558985966152636
WestBam - Let Yourself Go,Germany,1991,-0.23107876062226765,-5.635614415643397,-2.888631020561138,-1.3133299165156727,1.502464176161894,1.3590580378959711,-3.909273261245106,-1.5850995679303266,-1.1626060780430019,1.55898284897764,0.2804553270867206,-4.998587422534914,-3.2985712147248147,-1.5457790972877266,1.5301624042292268,0.25964279133927354,-1.630421399668286,-2.426168687157672,-1.249164525921662,1.2172332273743347
WestBam - Liberation,Germany,1991,-0.4252915611559798,-2.522380216272437,-3.201881790104447,-1.735227962097469,1.9700960047320424,0.44726485758848905,-2.957921818454692,-1.4548785286495192,-1.1234284367517553,1.829453814002449,-0.0284166123629429,-1.8284753431169163,-3.724494986505329,-1.5441075929783303,1.5074226913559867,1.0074639865178914,-0.7669716934535247,-2.6170648256353495,-1.524438336033522,1.449054159592549
WestBam - Live At Leningrad (Starring Pop Mekanik),Germany,1988,0.483313211589964,-1.701593891353087,-0.789284870504954,-1.1356671528394118,1.604974604020059,1.2456061608691986,-2.0536666888531365,-0.3045570761593383,-0.47260966472403737,1.4092823577088265,0.4789961067122314,-1.2931834668582591,-0.9270161739761625,-1.0007561294316412,1.3868633351889845,0.9940297719220385,-0.4474373973696501,-0.4215642834203255,-0.9333741320657238,1.3698925327200944
